question,paragraph,answer
Người ta quy định lấy kinh tuyến ở kinh độ bao nhiêu làm đường chuyển ngày,"Đường đổi ngày quốc tế về cơ bản dựa vào đường kinh tuyến 180°, cắt dọc Thái Bình Dương, và nửa đường vòng quanh thế giới tính từ kinh tuyến Greenwich.","180°,"
Hệ máy nào của trò chơi Life Is Strange được gọi tắt là PS3?,"Life Is Strange là một trò chơi điện tử phiêu lưu đồ họa nhiều tập được phát triển bởi Dontnod Entertainment và được phát hành bởi Square Enix cho Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, và Xbox One. PlayStation 3 (プレイステーション 3,, Pureisutēshon Surī, viết cách điệu là PLAYSTATION 3, thường được gọi tắt là PS3) là video game console thế hệ thứ bảy.",PlayStation 3
Thành phố mà ban nhạc The Shins thành lập nằm ở hai bên bờ sông Rio Grande phải không?,"The Shins là một ban nhạc indie-rock người Mỹ được thành lập ở Albuquerque, New Mexico vào năm 1996. Albuquerque là quận lỵ của Quận Bernalillo và nằm hai bên bờ sông Rio Grande.",đúng
Lionel Messi nhỏ tuổi hơn Brad Pitt phải không?,"Lionel Andrés Messi Cuccittini (phát âm tiếng Tây Ban Nha: [ljoˈnel anˈdɾes ˈmesi]  ( nghe); sinh ngày 24 tháng 6 năm 1987), còn được gọi là Leo Messi, là một cầu thủ bóng đá người Argentina hiện đang thi đấu ở vị trí tiền đạo cho câu lạc bộ Paris Saint-Germain và là đội trưởng của đội tuyển bóng đá quốc gia Argentina. Brad Pitt (tên thật là William Bradley Pitt sinh ngày 18 tháng 12 năm 1963) là một diễn viên và nhà sản xuất phim người Mỹ.",đúng
Nước biển như thế nào,"Nước biển có độ mặn không đồng đều trên toàn thế giới mặc dù phần lớn có độ mặn nằm trong khoảng từ 3,1% tới 3,8% .",độ mặn không đồng đều
Đất nước có cố đô là Sankt-Peterburg tồn tại từ năm năm 1721 đến năm 1917 phải không?,Đây là thành phố lớn thứ nhì ở Nga và cũng là cố đô của Đế quốc Nga. Rossiyskaya Imperiya) là một quốc gia tồn tại từ năm 1721 đến khi Chính phủ lâm thời lên nắm quyền sau cuộc Cách mạng Tháng Hai năm 1917.,đúng
"Tại thủ phủ của địch ở Sài Gòn, quân ta đã tấn công vào vị trí trọng yếu nào","Sự kiện Tết Mậu Thân: Ngay đêm tiến công đầu tiên tại Sài Gòn các đội biệt động cảm tử của Giải phóng quân đã nhằm vào các mục tiêu khó tin nhất: Toà Đại sứ quán Mỹ, dinh Tổng thống, đài phát thanh, bộ Tổng tham mưu, sân bay Tân Sơn Nhất... Sau đó quân tiếp ứng thẩm thấu vào thành phố tiếp quản các mục tiêu và tham gia chiến đấu.","Toà Đại sứ quán Mỹ, dinh Tổng thống, đài phát thanh, bộ Tổng tham mưu, sân bay Tân Sơn Nhất..."
thuốc phiện có tác dụng gì,Cơ chế tác dụng giảm đau của thuốc là sự kích thích các receptor opiate trong hệ thần kinh bắt chước các tác dụng của các endorphin tự nhiên .,giảm đau
Đan Trường còn có biệt danh là gì,"Báo chí Đài Loan còn đặt cho Đan Trường biệt danh "" Bae Yong Joon Việt Nam "" ( Bae Yong Joon là một diễn viên Hàn Quốc rất nổi tiếng tại các nước châu Á ) ..",Bae Yong Joon Việt Nam
Colin Firth nhỏ tuổi hơn Warren G. Harding phải không?,Colin Andrew Firth (sinh ngày 10 tháng 9 năm 1960) là một diễn viên người Anh. Warren Gamaliel Harding (2 tháng 11 năm 1865 – 2 tháng 8 năm 1923) là Tổng thống thứ 29 của Hoa Kỳ tại nhiệm từ năm 1921 đến khi ông qua đời vào năm 1923.,đúng
Phần Lan gia nhập Liên minh châu Âu năm bao nhiêu,Nước này là thành viên của Liên Hiệp Quốc từ năm 1955 và gia nhập Liên minh châu Âu vào năm 1995 .,năm 1995
Tổ chức mà Sir Stanley Ford Rous là chủ tịch thứ 6 năm 1961 đến 1974 được thành lập vào năm 1904 phải không?,"Sir Stanley Ford Rous, CBE (25 tháng 4 năm 1895 - 18 tháng 7 năm 1986) là một trọng tài quốc tế người Anh và là chủ tịch thứ sáu của FIFA từ năm 1961 đến năm 1974.",đúng
Trận đấu bóng đá quốc tế đầu tiên trên thế giới diễn ra tại đâu,Trận đấu quốc tế chính thức đầu tiên trong lịch sử bóng đá diễn ra vào ngày 30 tháng 11 năm 1872 tại Hamilton Crescent thuộc Glasgow giữa Scotland và Anh .,tại Hamilton Crescent thuộc Glasgow giữa Scotland và Anh
Thành phố của Bolton Wanderers là trụ sở của hai câu lạc bộ nào?,"Câu lạc bộ bóng đá Bolton Wanderers (biệt danh The Trotters) là một câu lạc bộ bóng đá chuyên nghiệp của Anh, đặt tại Horwich, Bolton thuộc thành phố Manchester, phía Tây Bắc nước Anh. Đây là trụ sở của hai câu lạc bộ bóng đá đang chơi ở Premier League, bao gồm biểu tượng của thành phố đội bóng giữ kỷ lục 20 lần vô địch quốc gia Manchester United F.C. và Manchester City F.C. , và đã tổ chức nhiều giải vô địch thế giới các môn khác nhau như đạp xe và bóng quần.",Manchester United F.C. và Manchester City F.C.
Sepp Blatter lớn tuổi hơn Florence Ballard phải không?,"Florence Glenda Ballard Chapman, tên thường gọi ""Flo"" hay ""Blondie"" (30 tháng 6 năm 1943 – 22 tháng 2 năm 1976), là một ca sĩ Mỹ, một trong những thành viên sáng lập nhóm nhạc The Supremes của Motown. Joseph S. Blatter (sinh ngày 10 tháng 3 năm 1936) là nhà quản lý bóng đá người Thụy Sĩ.",đúng
Sophia Loren nhỏ tuổi hơn James S. Sherman phải không?,"Sophia Loren, tên khai sinh Sofia Costanza Brigida Villani Scicolone (sinh ngày 20 tháng 9 năm 1934) là một nữ diễn viên người Italia đã từng đoạt tượng vàng Oscar. James Schoolcraft  Sherman (ngày 24 tháng 10 năm 1855 – ngày 30 tháng 10 năm 1912) là một nhà chính trị gia Hoa Kỳ, đại diện từ New York từ 1887 đến năm 1891 và 1893 đến năm 1909, vàPhó Tổng thống thứ 27 của Hoa Kỳ từ năm 1909 cho đến khi ông chết.",đúng
"Quê hương của Oda Nobunaga nằm bên rìa phía đông của các biển Nhật Bản, Hoa Đông phải không?","Oda Nobunaga (織田 (おだ) 信長 (のぶなが) (Chức-Điền Tín-Trường), Oda Nobunaga 23 tháng 6 năm 1534 – 21 tháng 6 năm 1582) là một daimyo trong thời kỳ Chiến Quốc của lịch sử Nhật Bản. Quốc gia này nằm bên rìa phía đông của các biển: Nhật Bản, Hoa Đông, phía tây giáp với bán đảo Triều Tiên qua biển Nhật Bản, phía bắc giáp với vùng Viễn Đông của Liên bang Nga theo biển Okhotsk và phía nam giáp với đảo Đài Loan qua biển Hoa Đông.",đúng
Simon Cowell từng làm giám khảo cho cuộc thi nào được mua bản quyền từ Pop Idol?,"Ông nổi tiếng trên truyền hình với vai trò là giám khảo của nhiều cuộc thi âm nhạc lớn như Pop Idol, American Idol, The X Factor hay Britain's Got Talent. American Idol được mua bản quyền từ chương trình Pop Idol của Anh do nhà sản xuất Simon Fuller sáng lập.",American Idol
Đất nước của Juan Mata có thủ đô là gì?,"Juan Manuel Mata García (phát âm tiếng Tây Ban Nha: [ˈxwan manˈwel ˈmata]; sinh ngày 28 tháng 4 năm 1988) là cầu thủ bóng đá người Tây Ban Nha đang thi đấu ở vị trí tiền vệ cánh cho câu lạc bộ Manchester United. Thủ đô và thành phố lớn nhất của Tây Ban Nha là Madrid; các khu vực đô thị lớn khác gồm: Barcelona, Valencia, Sevilla, Bilbao và Málaga.",Madrid
Bức tượng Phật Quan Âm nghìn tay có ở ngôi chùa nào,"Tượng Quan Âm nghìn tay nghìn mắt ở chùa Bút Tháp, xã Đình Tổ, tỉnh Bắc Ninh, Việt Nam.","chùa Bút Tháp,"
Anh trai của Joaquin Phoenix sinh năm 1993 phải không?,"Sinh ra ở Puerto Rico và lớn lên tại Los Angeles và Florida, Phoenix bắt đầu sự nghiệp diễn xuất của mình từ đầu thập niên 1980 với các vai diễn trong các bộ phim truyền hình cùng người anh trai River Phoenix. River Jude Phoenix (23 tháng 8 năm 1970 – 31 tháng 10 năm 1993) là một diễn viên, nhạc sĩ và nhà hoạt động xã hội người Mỹ.",đúng
Máy tính ENIAC nặng khoảng bao nhiêu tấn,Chiếc ENIAC nặng khoảng 30 tấn.,khoảng 30 tấn.
Nơi Cryolophosaurus sống vào thời kỳ đầu kỷ Jura ngày nay có vĩ độ bao nhiêu?,"Cryolophosaurus ( hay ; ""CRY-oh-loaf-oh-SAWR-us"") là một chi Theropoda lớn với chỉ một loài được biết tới, Cryolophosaurus ellioti, sống vào thời kỳ đầu kỷ Jura ở nơi ngày nay là Nam Cực. Nam Cực hay Cực Nam Địa lý là điểm có vĩ độ bằng -90 độ trên Trái Đất.",-90 độ
Jim Morrison lớn tuổi hơn Giampiero Boniperti phải không?,"James Douglas Morrison (sinh ngày 8 tháng 12 năm 1943 tại Melbourne, Florida; mất ngày 3 tháng 7 năm 1971 tại Paris) là ca sĩ, người sáng tác ca khúc, viết nhạc cũng là một nhà thơ người Mỹ. Giampiero Boniperti (sinh 4 tháng 7 năm 1928 tại Barengo, Piedmont) là một cựu cầu thủ bóng đá Ý, chơi cho câu lạc bộ Juventus trong toàn bộ sự nghiệp của mình từ 1946 đến 1961.",không
Đội bóng mà Aleksandar Kolarov hiện chơi ở vị trí hậu vệ trái đã giành 39 danh hiệu lớn phải không?,"Aleksandar Kolarov (tiếng Serbia: Александар Коларов, sinh ngày 10 tháng 11, năm 1985 ở Beograd, Nam Tư) là một cầu thủ bóng đá người Serbia hiện chơi ở vị trí hậu vệ trái cho câu lạc bộ Inter Milan tại Serie A. Mặc dù chơi chủ yếu ở vị trí hậu vệ trái, Kolarov có thể chơi ở trung tâm cũng như chạy chồng chéo về bên cánh trái và cú sút mạnh mẽ của mình.Sự nghiệp bóng đá của Kolarov bắt đầu trong hệ thống thanh niên Red Star Belgrade. Với tổng cộng 39 danh hiệu lớn giành được, Inter là câu lạc bộ giàu thành thích thứ ba của Italia sau Juventus (với 67 danh hiệu) và A.C. Milan (với 48 danh hiệu).",đúng
Câu lạc bộ Ashley Young đang chơi được sáng lập năm 1874 phải không?,"Ashley Simon Young (sinh 9 tháng 7 năm 1985) là một cầu thủ bóng đá người Anh, chơi ở vị trí tiền vệ cánh hoặc hậu vệ cánh cho câu lạc bộ bóng đá Aston Villa F.C. ở giải vô địch Ngoại hạng Anh. Được thành lập vào năm 1874, họ thi đấu các trận đấu sân nhà của họ tại Villa Park kể từ năm 1897.",đúng
Mia Hamm nhỏ tuổi hơn John Mayer phải không?,"John Clayton Mayer (sinh ngày 16 tháng 10 năm 1977) là một ca sĩ, nhạc sĩ, nhà sản xuất âm nhạc thể loại pop rock/pop/blues rock người Mỹ. Mariel Margaret ""Mia"" Hamm-Garciaparra (sinh ngày 17 tháng 3 năm 1972 tại Selma, Alabama) là một nữ cầu thủ bóng đá người Mỹ.",không
Tiểu thuyết Ỷ Thiên Đồ Long ký do ai viết,"Ỷ Thiên Đồ Long ký (tiếng Trung: 倚天屠龍記), còn được dịch ra tiếng Việt là Cô gái Đồ Long, là một tiểu thuyết võ hiệp của nhà văn Kim Dung.",Kim Dung.
Al Green nhỏ tuổi hơn Edward G. Robinson phải không?,"Edward G. Robinson (tên khai sinh Emanuel Goldenberg; tiếng Yid: ײמאַנועל גאָלדענבערג‎; 12 tháng 12 năm 1893 - 26 tháng 1 năm 1973) là một diễn viên người Mỹ gốc România. Albert Leornes Greene (sinh ngày 13 tháng 4 năm 1946 tại Arkansas), còn được biết đến dưới tên The Reverend Al Green, là ca sĩ, nhạc sĩ, nhà sản xuất thu âm người Mỹ.",đúng
Ai cùng với John Forbes Nash Jr. nhận được giải Nobel kinh tế là một học giả kinh tế Đức?,"Năm 1994, ông nhận được giải Nobel kinh tế cùng với hai nhà lý thuyết trò chơi khác, Reinhard Selten và John Harsanyi. Reinhard Selten (5 tháng 10 năm 1930 – 23 tháng 8 năm 2016) là một học giả kinh tế Đức.",Reinhard Selten
"Ban nhạc của ca khúc ""Harder, Better, Faster, Stronger"" gồm bao nhiêu người?","""Harder, Better, Faster, Stronger"" là ca khúc của ban nhạc người Pháp Daft Punk. Daft Punk là một bộ đôi nhạc điện tử Pháp gồm Guy-Manuel de Homem-Christo và Thomas Bangelter.",2
Tiết đông chí là ngày nào,"Theo quy ước , tiết đông chí là khoảng thời gian bắt đầu từ khoảng ngày 21 hay 22 tháng 12 khi kết thúc tiết đại tuyết và kết thúc vào khoảng ngày 5 hay 6 tháng một trong lịch Gregory theo các múi giờ Đông Á khi tiết tiểu hàn bắt đầu .",ngày 21 hay 22 tháng 12 khi kết thúc tiết đại tuyết và kết thúc vào khoảng ngày 5 hay 6 tháng một trong lịch Gregory theo các múi giờ Đông Á khi tiết tiểu hàn bắt đầu
Bryan Cranston nhỏ tuổi hơn Aretha Franklin phải không?,"Bryan Lee Cranston (sinh ngày 7 tháng 3 năm 1956) là một diễn viên, nhà biên kịch, đạo diễn và nhà sản xuất người Mỹ. Aretha Louise Franklin (25 tháng 3 năm 1942 – 16 tháng 8 năm 2018) là một ca sĩ, nhạc sĩ và một nghệ sĩ piano người Mỹ với danh hiệu ""Nữ hoàng nhạc Soul"".",đúng
Nhóm nhạc nào từng thu âm tại Abbey Road Studios có thủ lĩnh là Barrett?,"Trong những năm 60-70, đây là nơi thu âm chính của các nghệ sĩ như Pink Floyd, The Beatles, The Hollies, Badfinger,... Với vị thủ lĩnh tài năng Barrett, họ đã cho ra đời 2 đĩa đơn nằm trong danh sách bán chạy trên thị trường và một album ra mắt thành công.",Pink Floyd
Quê hương của Fujiko Fujio giáp với các vùng nào?,"Fujiko Fujio (藤子 不二雄 (Đằng Tử Bất Nhị Hùng), ふじこ ふじお, IPA: /ɸɯdʒiko ɸɯdʒio/) là bút danh chung của hai nghệ sĩ manga Nhật Bản, người Việt gọi là Ông Hai Phú hay Ông Phú Sĩ. Quốc gia này nằm bên rìa phía đông của các biển: Nhật Bản, Hoa Đông, phía tây giáp với bán đảo Triều Tiên qua biển Nhật Bản, phía bắc giáp với vùng Viễn Đông của Liên bang Nga theo biển Okhotsk và phía nam giáp với đảo Đài Loan qua biển Hoa Đông.","bán đảo Triều Tiên, vùng Viễn Đông của Liên bang Nga, đảo Đài Loan"
Dick Cheney lớn tuổi hơn David Bowie phải không?,"David Bowie (phát âm /ˈboʊ.iː/; tên thật David Robert Jones; 8 tháng 1 năm 1947 – 10 tháng 1 năm 2016) là ca sĩ, nhạc sĩ, diễn viên, nhà sản xuất âm nhạc người Anh. Richard Bruce Cheney (tên thường được gọi Dick Cheney; sinh ngày 30 tháng 1 năm 1941) là Phó Tổng thống thứ 46 của Hoa Kỳ, ông giữ chức vụ này từ năm 2001 đến 2009 dưới thời Tổng thống George W. Bush.",đúng
Donald Trump đắc cử Tống thống Hoa Kỳ vào năm nào,"Ngày 9 tháng 11 năm 2016 , trong cuộc bầu cử tổng thống Hoa Kỳ 2016 , Donald Trump đã giành chiến thắng đầy bất ngờ trước ứng cử viên Hillary Clinton của Đảng Dân chủ để trở thành Tổng thống thứ 45 của Hoa Kỳ .",2016
Giải bóng đá mà Leeds United F.C. thua Chelsea năm 1970 được tổ chức lần đầu tiên trong mùa giải nào?,"Tại Cúp FA, Leeds thua Chelsea trong trận đá lại của trận chung kết năm 1970. Được tổ chức lần đầu tiên trong mùa giải 1871–72, đây là giải bóng đá lâu đời nhất trên thế giới.",1871–72
"Bộ phim nào của Charlie Kaufman có sự góp mặt của John Cusack, Cameron Diaz và Catherine Keener?","Ông viết những bộ phim Being John Malkovich (1999), Adaptation (2002) và Eternal Sunshine of the Spotless Mind (2004). Phim có sự góp mặt của John Cusack, Cameron Diaz và Catherine Keener, với John Malkovich và Charlie Sheen vào vai chính họ.",Being John Malkovich
Đất nước của Theodore William Richards giáp với México ở phía bắc phải không?,"Theodore William Richards (sinh 31 tháng 1 năm 1868 - mất năm 1928) là một nhà hóa học Hoa Kỳ. Hoa Kỳ nằm giữa Bắc Mỹ, giáp biển Thái Bình Dương ở phía tây, Đại Tây Dương ở phía đông, Canada ở phía bắc và México ở phía nam.",không
chủ tịch của Thái Bình là ai,Đặng Trọng Thăng ( sinh năm 1960 ) là một chính khách người Việt Nam .,Đặng Trọng Thăng
Album có bài hát Justify My Love được phát hành vào ngày 09 tháng 11 năm 1990 phải không?,"""Justify My Love"" là một bài hát của nghệ sĩ thu âm người Mỹ Madonna nằm trong album tuyệt phẩm đầu tiên của cô, The Immaculate Collection (1990). Records.",đúng
gói dịch vụ là gì,"Trong máy tính , một gói dịch vụ hay SP ( nói ngắn gọn SP ) hay gói tính năng  ( FP ) là một bản cập nhật chứa tổng hợp các cập nhật , sửa chữa , hay tăng cường hiệu năng chương trình máy tính truy xuất dữ liệu .","là một bản cập nhật chứa tổng hợp các cập nhật , sửa chữa , hay tăng cường hiệu năng chương trình máy tính truy xuất dữ liệu"
"Bài hát Twicecoaster: Lane 1 trong album ""What's Twice phải không?"" là mini album thứ ba của nhóm nhạc Twice phải không?","Album chỉ được phát hành tại Nhật Bản vào ngày 24 tháng 2 năm 2017 bởi Warner Music Japan và gồm có 3 bài hát tiếng Hàn từ các đĩa đơn mở rộng trước đó của nhóm: The Story Begins (2015), Page Two (2016) và Twicecoaster: Lane 1 (2016). Twicecoaster: Lane 1 (thường được viết cách điệu thành TWICEcoaster: LANE 1) là mini album (EP) thứ ba của nhóm nhạc nữ Hàn Quốc Twice.",đúng
Tổ chức mà Sir Stanley Ford Rous là chủ tịch thứ 6 năm 1961 đến 1974 được sáng lập vào năm 1904 phải không?,"Sir Stanley Ford Rous, CBE (25 tháng 4 năm 1895 - 18 tháng 7 năm 1986) là một trọng tài quốc tế người Anh và là chủ tịch thứ sáu của FIFA từ năm 1961 đến năm 1974.",đúng
Tỉnh Cao Bằng thuộc khu vực nào của nước ta,Cao Bằng là một tỉnh thuộc vùng Đông Bắc Việt Nam.,Đông Bắc
Câu lạc bộ FC Bayern München mà Luca Toni từng thi đấu có 31 chức vô địch quốc gia phải không?,"Trong suốt sự nghiệp của mình, Toni đã từng thi đấu cho 17 câu lạc bộ khác nhau, trong đó đáng chú ý có Palermo, Fiorentina, Bayern München, Roma, Juventus, Al Nasr và Verona. Câu lạc bộ này được biết đến nhiều nhất bởi đội bóng đá chuyên nghiệp đang chơi ở Bundesliga, hạng đấu cao nhất của hệ thống giải đấu bóng đá Đức, và là câu lạc bộ thành công nhất trong lịch sử bóng đá Đức, với 31 chức vô địch quốc gia và 20 cúp quốc gia, cùng với vô số danh hiệu châu Âu.Câu lạc bộ được thành lập năm 1900 bởi 11 cầu thủ bóng đá, được dẫn dắt bởi Franz John.",đúng
lý quang diệu sinh năm nào,"Lý Quang Diệu (tên chữ Latin: Lee Kuan Yew; tên chữ Hán: 李光耀; bính âm: Lǐ Guāngyào, 16 tháng 9 năm 1923 – 23 tháng 3 năm 2015), là Thủ tướng đầu tiên của nước Cộng hòa Singapore, ông đảm nhiệm chức vụ này từ năm 1959 đến năm 1990.",năm 1923
Album có bài hát Bo Peep Bo Peep đạt vị trí thứ mấy trên Gaon tuần?,"Bài hát được phát hành vào ngày 27 tháng 11 năm 2009, nằm trong album phòng thu đầu tay của nhóm Absolute First Album. Album đạt vị trí thứ 2 trên Gaon tuần.",2
"Người hợp tác với Taylor Swift viết ca khúc Everything Has Changed sinh ra tại Hebden Bridge, Yorkshire phải không?","""Everything Has Changed"" là một bài hát được thu âm bởi nữ ca sĩ kiêm người viết bài hát người Mỹ Taylor Swift, hợp tác với nam ca sĩ-người viết bài hát người Anh Ed Sheeran, nằm trong album phòng thu thứ tư của Swift, Red (2012). Ed được sinh ra tại Hebden Bridge, Yorkshire và lớn lên tại Framlingham, Suffolk.",đúng
tổng thống của Gambia là ai,"Adama Barrow ( sinh ngày 16 tháng 2 năm 1965 ) là Tổng thống đương nhiệm của Gambia , sau khi thắng cuộc bầu cử tổng thống năm 2016 .",Adama Barrow
Al Gore nhỏ tuổi hơn Issa Hayatou phải không?,"Albert Arnold Gore, Jr. (tên thường được gọi Al Gore; sinh ngày 31 tháng 3 năm 1948) là Phó Tổng thống thứ 45 của Hoa Kỳ, ông giữ chức vụ này từ năm 1993 đến 2001 dưới thời Tổng thống Bill Clinton. Issa Hayatou (sinh ngày 9 tháng 8 năm 1946) là một cựu vận động viên thể thao và nhà quản lí bóng đá người Cameroon.",đúng
Tôn Trung Sơn là ai,"Tôn Trung Sơn, nguyên danh là Tôn Văn, tự Tải Chi, hiệu Nhật Tân, Dật Tiên là nhà cách mạng Trung Quốc, người đóng vai trò quan trọng trong cuộc Cách mạng Tân Hợi năm 1911 lật đổ triều đại Mãn Thanh và khai sinh ra Trung Hoa Dân Quốc.","là nhà cách mạng Trung Quốc,"
Đất nước của câu lạc bộ bóng đá Queens Park thống nhất vào thế kỷ thứ mấy?,"Câu lạc bộ bóng đá Queens Park Rangers thường được gọi tắt là QPR là một câu lạc bộ bóng đá chuyên nghiệp Anh đặt trụ sở tại thủ đô Luân Đôn nước Anh. Anh trở thành một quốc gia thống nhất vào thế kỷ X, và kể từ thời đại Khám phá quốc gia này có tác động đáng kể về văn hoá và tư pháp trên thế giới.",Thế kỷ X
Bài hát Johnny B. Goode của Chuck Berry trở thành bản hit phổ biến trong cả cộng đồng người da màu lẫn da trắng phải không?,"Với những ca khúc bất hủ của mình như ""Maybellene"" (1955), ""Roll Over Beethoven"" (1956), ""Rock and Roll Music"" (1957) và ""Johnny B. Goode"" (1958), Chuck Berry đã đưa R&B vào trong những cấu thành của rock 'n' roll, với nhiều ca từ viết về tuổi trẻ, cùng với đó là tập trung tới guitar solo và guitar bè – những thương hiệu của nhạc rock nguyên thủy. Ca khúc này trở thành bản hit phổ biến trong cả cộng đồng người da màu lẫn da trắng với vị trí số 2 tại bảng xếp hạng Hot R&B Songs của tạp chí Billboard và vị trí số 8 tại Billboard Hot 100.",đúng
Ai là cha đẻ của trí tuệ nhân tạo,"Trí tuệ nhân tạo đã được bắt đầu nghiên cứu từ thập niên 1950 bởi những nhà tiên phong như Allen Newell và Herbert Simon , người sáng lập phòng thí nghiệm trí tuệ nhân tạo đầu tiên ở Đại học Carnegie Mellon , và John McCarthy và Marvin Minsky , người sáng lập phòng thí nghiệm trí tuệ nhân tạo tại MIT , MIT AI Lab , năm 1959 .",Allen Newell và Herbert Simon
Album có ca khúc What Makes You Beautiful có phiên bản chuẩn bao gồm bao nhiêu ca khúc?,"""What Makes You Beautiful"" là một bài hát của nhóm nhạc người Anh quốc và Ireland One Direction nằm trong album phòng thu đầu tay của họ, Up All Night (2011). Album bao gồm 13 bài hát (phiên bản chuẩn), và 15 bài hát (phiên bản cao cấp).",13
Ai là người chắp bút cho tập phim Ten Sessions được đề cử cho 7 Giải Emmy?,"Tập phim do hai nhà đồng sáng lập loạt phim Carter Bays và Craig Thomas chắp bút và đạo diễn bởi Pamela Fryman. Anh được đề cử cho 7 Giải Emmy, bao gồm giải ""Ca khúc nhạc phim hay nhất: cho ""Nothing Suits Me Like a Suit"".",Craig Thomas
Năm sinh của Lưu Bị là bao nhiêu,"Lưu Bị (Giản thể: 刘备, Phồn thể: 劉備; 161 – 10 tháng 6, 223) hay còn gọi là Hán Chiêu Liệt Đế (漢昭烈帝), là một vị thủ lĩnh quân phiệt, hoàng đế khai quốc nước Thục Hán thời Tam Quốc trong lịch sử Trung Quốc.",161
Tổng tống tặng thưởng Gregory Peck Huân chương tự do của Tổng thống Hoa Kỳ tại vị trong giai đoạn nào?,"Tổng thống Mỹ Lyndon Johnson đã tặng thưởng Peck Huân chương tự do của Tổng thống Hoa Kỳ năm 1969 cho những cống hiến không ngừng nghỉ cho hoạt động nhân đạo. Ông là Tổng thống Hoa Kỳ thứ 36, tại vị trong giai đoạn 1963–1969.",1963–1969
Quốc gia có câu lạc bộ U.D. Leiria nằm ở phía nào của khu vực châu Âu?,"União Desportiva de Leiria, thường được gọi là Unĩao de Leira (phát âm là [uni ' ἕw di lɘj' rie]), là một câu lạc bộ bóng đá Bồ Đào Nha có trụ sở tại Leiria, miền trung Bồ Đào Nha. Bồ Đào Nha (tiếng Bồ Đào Nha: Portugal, [puɾtuˈɣaɫ]), tên gọi chính thức là Cộng hòa Bồ Đào Nha (tiếng Bồ Đào Nha: República Portuguesa, [ʁɨ'publikɐ puɾtu'ɣezɐ]) là một quốc gia nằm ở phía Tây Nam của khu vực châu Âu, trên bán đảo Iberia và cực Tây của châu Âu lục địa.",Tây Nam
Thành phố sáng lập The Black Keys nằm giữa thành phố Cleveland về phía bắc phải không?,"The Black Keys là một ban nhạc rock người Mỹ thành lập tại Akron, Ohio vào năm 2001. Thành phố này nằm giữa Cleveland về phía bắc và Canton về phía nam.",đúng
Nhóm nhạc có bài hát Hey Jude có mấy thành viên?,"""Hey Jude"" là một bài hát do Paul McCartney sáng tác và được ghi là Lennon-McCartney đồng sáng tác, phát hành dưới dạng đĩa đơn bởi The Beatles vào năm 1968. Với 4 thành viên John Lennon, Paul McCartney, George Harrison và Ringo Starr, họ được coi là ban nhạc có ảnh hưởng nhất mọi thời đại.",4
Quốc gia của Theodore William Richards giáp với México ở phía bắc phải không?,"Theodore William Richards (sinh 31 tháng 1 năm 1868 - mất năm 1928) là một nhà hóa học Hoa Kỳ. Hoa Kỳ nằm giữa Bắc Mỹ, giáp biển Thái Bình Dương ở phía tây, Đại Tây Dương ở phía đông, Canada ở phía bắc và México ở phía nam.",không
John Tyler nhỏ tuổi hơn Ryan Giggs phải không?,"Ryan Joseph Giggs (tên khai sinh là Ryan Joseph Wilson, sinh ngày 29 tháng 11 năm 1973) là một cựu cầu thủ và huấn luyện viên bóng đá xứ Wales. John Tyler (29 tháng 3 năm 1790 - 18 tháng 1 năm 1862) là Tổng thống Hoa Kỳ thứ 10 tại nhiệm từ năm 1841 đến năm 1845.",không
Nhà phát triển nào sản xuất Grand Theft Auto: Vice City Stories có trụ sở tại Leeds?,"Grand Theft Auto: Vice City Stories là 1 trò chơi thể loại hành động - phiêu lưu được sản xuất dưới sự hợp tác của Rockstar Leeds và Rockstar North, và được phát hành bởi Rockstar Games. Rockstar Leeds Limited (trước đây là Möbius Entertainment Limited) là một nhà phát triển trò chơi điện tử của Anh và là một studio của Rockstar Games có trụ sở tại Leeds.",Rockstar Leeds
Quê hương của Sepp Blatter nằm ở châu lục nào?,"Joseph S. Blatter (sinh ngày 10 tháng 3 năm 1936) là nhà quản lý bóng đá người Thụy Sĩ. Thụy Sĩ (còn được viết là Thuỵ Sỹ), tên đầy đủ là Liên bang Thụy Sĩ, là một nước cộng hòa liên bang tại châu Âu.",Châu Âu
Charlton Heston nhỏ tuổi hơn Dustin Hoffman phải không?,"Charlton Heston (tên khai sinh John Charles Carter; 4 tháng 10 1923 - 5 tháng 4 năm 2008) là một diễn viên điện ảnh người Mỹ nổi tiếng với các vai diễn anh hùng như Moses trong The Ten Commandments (Mười giới luật), Colonel George Taylor trong Planet of the Apes và Judah Ben-Hur trong Ben-Hur, vai diễn đã giúp ông giành được giải Oscar cho nam diễn viên chính xuất sắc nhất. Dustin Lee Hoffman (sinh ngày 8 tháng 8 năm 1937), thường được biết đến với tên Dustin Hoffman là một diễn viên người Mỹ.",đúng
Tên chính thức của Hàn Quốc là gì,"Hàn Quốc chính thức đề nghị Việt Nam dùng quốc hiệu chính xác của họ là Đại Hàn Dân quốc , hay gọi tắt là Hàn Quốc .",Đại Hàn Dân quốc
Chủ tịch nước đầu tiên nước ta là ai,"Hồ Chí Minh là Chủ tịch đầu tiên của nước Việt Nam Dân chủ Cộng hoà , được Quốc hội khoá II bầu lại và làm Chủ tịch đến khi ông mất ngày 2 tháng 9 năm 1969 .",Hồ Chí Minh
